city;area;rooms;bathroom;parking spaces;floor;animal;furniture;rent
São Paulo;50;1;1;0;0;not acept;not furnished;813
São Paulo;60;1;1;0;0;acept;not furnished;813
Campinas;45;1;1;0;1;acept;not furnished;814
Belo Horizonte;100;2;1;0;0;acept;not furnished;815
Belo Horizonte;30;1;1;0;3;not acept;not furnished;817
Campinas;36;1;1;0;4;not acept;not furnished;817
São Paulo;30;1;1;0;0;acept;not furnished;821
Belo Horizonte;50;2;1;0;0;not acept;not furnished;822
Porto Alegre;40;1;1;0;1;acept;furnished;831
São Paulo;50;1;1;0;0;acept;not furnished;831
Rio de Janeiro;35;1;1;0;3;acept;not furnished;832
São Paulo;35;1;1;0;0;not acept;not furnished;832
Porto Alegre;60;1;1;1;1;acept;not furnished;834
Porto Alegre;44;1;1;0;4;acept;furnished;835
São Paulo;50;1;1;0;1;acept;not furnished;835
São Paulo;25;1;1;0;1;not acept;not furnished;836
São Paulo;40;1;1;0;0;not acept;not furnished;839
São Paulo;50;1;1;0;0;acept;not furnished;841
Campinas;53;2;1;1;1;acept;not furnished;843
Campinas;60;2;1;1;0;not acept;not furnished;843
São Paulo;50;1;1;0;0;not acept;not furnished;847
São Paulo;27;1;1;0;0;not acept;not furnished;848
São Paulo;25;1;1;0;0;not acept;not furnished;849
São Paulo;27;1;1;0;0;not acept;not furnished;849
Porto Alegre;52;1;1;0;0;acept;not furnished;850
Porto Alegre;80;2;1;1;1;acept;not furnished;850
Campinas;50;1;1;0;8;acept;not furnished;853
Porto Alegre;80;1;1;0;0;acept;not furnished;855
Campinas;30;1;1;0;4;acept;not furnished;856
São Paulo;50;1;1;0;0;acept;not furnished;857
São Paulo;40;1;1;0;0;not acept;not furnished;861
Rio de Janeiro;19;1;1;0;3;acept;not furnished;862
Belo Horizonte;55;2;1;1;4;acept;not furnished;865
Porto Alegre;40;1;1;1;4;acept;not furnished;865
Porto Alegre;30;1;1;0;5;acept;not furnished;870
São Paulo;16;1;1;0;1;not acept;not furnished;870
Porto Alegre;37;1;1;0;2;acept;not furnished;871
Belo Horizonte;30;1;1;1;2;not acept;furnished;872
Belo Horizonte;40;1;1;1;1;not acept;not furnished;872
São Paulo;50;1;1;0;0;not acept;not furnished;872
Porto Alegre;31;1;1;0;4;acept;not furnished;873
Porto Alegre;39;1;1;0;3;acept;not furnished;873
Porto Alegre;38;1;1;1;3;acept;not furnished;874
São Paulo;30;1;1;0;0;not acept;not furnished;874
Campinas;53;2;1;1;1;acept;not furnished;876
Campinas;30;1;1;0;5;acept;not furnished;880
São Paulo;50;1;1;0;2;not acept;not furnished;880
São Paulo;16;1;1;0;1;not acept;not furnished;882
São Paulo;22;1;1;0;0;not acept;not furnished;884
São Paulo;24;1;1;0;0;not acept;not furnished;884
São Paulo;24;1;1;0;0;acept;not furnished;884
Belo Horizonte;26;1;1;1;1;acept;not furnished;887
Belo Horizonte;50;2;1;0;0;not acept;not furnished;889
Porto Alegre;42;2;1;0;0;acept;not furnished;889
São Paulo;55;1;1;0;1;not acept;not furnished;890
São Paulo;16;1;1;0;1;not acept;not furnished;891
Belo Horizonte;45;2;1;1;1;acept;not furnished;892
Belo Horizonte;50;2;1;0;0;acept;not furnished;892
São Paulo;16;1;1;0;1;not acept;not furnished;896
Campinas;30;1;1;0;5;not acept;furnished;897
São Paulo;25;1;1;0;1;not acept;not furnished;897
São Paulo;40;1;1;0;0;acept;not furnished;897
Porto Alegre;40;1;1;0;0;acept;not furnished;898
São Paulo;120;1;2;0;0;acept;not furnished;900
Porto Alegre;50;1;1;0;3;acept;not furnished;902
Campinas;33;1;1;0;11;not acept;not furnished;908
Rio de Janeiro;60;2;1;1;8;acept;not furnished;909
Belo Horizonte;55;1;1;0;0;acept;not furnished;910
Belo Horizonte;66;2;1;1;1;acept;not furnished;910
São Paulo;45;1;1;0;2;not acept;not furnished;910
Porto Alegre;50;2;1;0;0;acept;not furnished;911
São Paulo;50;1;1;0;0;not acept;not furnished;911
Belo Horizonte;55;2;1;0;2;not acept;not furnished;912
Campinas;32;1;1;0;9;not acept;not furnished;912
Rio de Janeiro;18;1;1;0;1;not acept;not furnished;912
São Paulo;45;1;1;0;0;acept;not furnished;914
São Paulo;50;1;1;0;0;not acept;not furnished;914
São Paulo;70;1;1;0;0;not acept;not furnished;914
Belo Horizonte;40;1;1;0;0;not acept;not furnished;915
Porto Alegre;25;1;1;0;3;acept;not furnished;915
São Paulo;35;1;1;0;1;acept;not furnished;916
Belo Horizonte;50;2;1;1;4;acept;not furnished;917
Campinas;44;1;1;0;7;acept;not furnished;919
Belo Horizonte;52;2;1;1;4;not acept;not furnished;920
Porto Alegre;39;1;1;0;2;acept;furnished;920
Rio de Janeiro;15;1;1;0;4;not acept;not furnished;920
São Paulo;16;1;1;0;1;not acept;not furnished;920
São Paulo;55;1;1;0;1;not acept;not furnished;920
São Paulo;36;1;1;0;1;acept;not furnished;921
São Paulo;16;1;1;0;1;not acept;not furnished;922
São Paulo;26;1;1;0;0;not acept;not furnished;922
Campinas;53;1;1;0;6;acept;not furnished;925
Porto Alegre;45;1;1;1;4;acept;not furnished;925
São Paulo;35;1;1;0;0;acept;not furnished;925
Campinas;38;1;1;0;8;acept;not furnished;927
Belo Horizonte;43;2;1;1;2;acept;not furnished;928
Belo Horizonte;55;2;1;1;3;acept;not furnished;930
Belo Horizonte;65;2;1;1;2;acept;not furnished;930
Campinas;26;1;1;0;2;acept;not furnished;930
Porto Alegre;28;1;1;0;4;acept;not furnished;930
São Paulo;30;1;1;0;0;not acept;not furnished;930
Campinas;44;2;1;0;2;acept;not furnished;931
São Paulo;40;1;1;0;0;not acept;furnished;932
São Paulo;40;1;1;0;0;acept;not furnished;934
Campinas;67;2;1;0;0;acept;not furnished;935
São Paulo;50;1;1;1;0;not acept;not furnished;935
Belo Horizonte;68;2;1;1;11;acept;not furnished;937
Belo Horizonte;42;2;1;1;4;acept;not furnished;938
Belo Horizonte;45;1;1;0;0;not acept;not furnished;939
Campinas;58;2;1;1;2;acept;not furnished;939
São Paulo;40;1;1;0;0;not acept;not furnished;939
Porto Alegre;30;1;1;0;3;not acept;not furnished;940
Campinas;40;1;1;0;8;not acept;not furnished;942
São Paulo;40;1;1;0;0;not acept;not furnished;942
Campinas;40;1;1;0;4;acept;not furnished;944
Campinas;55;2;1;1;2;acept;not furnished;944
Porto Alegre;35;1;1;0;1;acept;not furnished;944
São Paulo;20;1;1;0;3;not acept;furnished;948
Porto Alegre;48;1;1;0;4;acept;not furnished;949
Porto Alegre;40;1;1;0;2;acept;not furnished;950
Campinas;44;1;1;0;7;acept;not furnished;951
Campinas;47;1;1;0;1;acept;furnished;951
Campinas;60;2;1;0;0;not acept;not furnished;951
Porto Alegre;37;1;1;0;3;acept;not furnished;953
Porto Alegre;37;1;1;0;1;acept;not furnished;953
São Paulo;63;1;1;1;3;acept;not furnished;957
Campinas;60;2;1;1;3;acept;not furnished;960
São Paulo;34;1;1;0;0;not acept;not furnished;960
Porto Alegre;39;1;1;0;11;acept;not furnished;962
Campinas;47;1;1;0;8;acept;not furnished;963
São Paulo;35;1;1;0;1;not acept;not furnished;964
São Paulo;50;1;2;0;0;acept;not furnished;964
São Paulo;50;2;1;0;0;not acept;not furnished;964
São Paulo;45;1;1;0;0;not acept;not furnished;965
São Paulo;50;1;1;0;1;acept;not furnished;965
São Paulo;100;1;1;0;0;not acept;not furnished;965
Belo Horizonte;70;1;1;0;0;acept;not furnished;967
Campinas;44;1;1;0;4;acept;not furnished;967
Porto Alegre;80;2;1;0;0;acept;not furnished;967
Campinas;50;1;1;0;4;acept;not furnished;968
Belo Horizonte;54;2;1;1;1;acept;not furnished;969
Belo Horizonte;66;2;1;1;13;acept;not furnished;969
Belo Horizonte;50;2;1;1;10;acept;not furnished;971
Campinas;46;1;1;0;2;acept;not furnished;971
São Paulo;50;1;1;1;0;acept;not furnished;973
Porto Alegre;27;1;1;0;9;acept;not furnished;974
Porto Alegre;40;1;1;0;1;acept;not furnished;976
Campinas;48;2;1;0;2;acept;not furnished;977
Campinas;50;1;1;0;7;acept;not furnished;977
Porto Alegre;28;1;1;0;4;acept;not furnished;977
São Paulo;30;1;1;0;1;not acept;not furnished;977
Porto Alegre;56;2;1;0;4;acept;not furnished;979
Belo Horizonte;30;1;1;1;1;not acept;not furnished;981
São Paulo;45;1;1;0;0;not acept;not furnished;982
Belo Horizonte;40;1;1;1;2;not acept;furnished;983
Porto Alegre;40;2;1;1;4;not acept;not furnished;983
Porto Alegre;52;2;1;1;1;not acept;not furnished;984
Porto Alegre;47;1;1;1;10;acept;not furnished;985
Belo Horizonte;50;2;1;1;2;acept;not furnished;986
Porto Alegre;30;1;1;0;4;acept;not furnished;987
São Paulo;40;1;1;1;0;not acept;not furnished;987
Belo Horizonte;32;1;1;1;1;acept;not furnished;989
Porto Alegre;40;1;1;0;5;acept;not furnished;989
São Paulo;37;1;1;0;0;not acept;not furnished;989
Porto Alegre;38;1;1;0;1;acept;not furnished;990
São Paulo;22;1;1;0;0;not acept;not furnished;991
São Paulo;22;1;1;0;0;acept;not furnished;991
São Paulo;50;1;1;0;1;not acept;not furnished;991
São Paulo;40;1;1;0;0;acept;not furnished;992
Porto Alegre;40;1;1;1;0;acept;not furnished;993
Porto Alegre;55;1;1;0;1;acept;not furnished;993
São Paulo;16;1;1;0;1;not acept;not furnished;993
São Paulo;40;1;1;0;1;not acept;not furnished;993
São Paulo;33;2;1;0;0;not acept;not furnished;995
São Paulo;45;1;1;0;1;not acept;not furnished;995
São Paulo;60;1;1;0;0;not acept;not furnished;995
Belo Horizonte;51;2;1;1;2;acept;not furnished;997
Belo Horizonte;250;2;2;1;0;acept;not furnished;997
Campinas;55;1;1;0;5;acept;not furnished;997
Rio de Janeiro;40;1;1;0;3;acept;not furnished;997
Campinas;55;1;1;0;1;acept;not furnished;998
Campinas;60;2;1;1;4;acept;not furnished;998
Porto Alegre;45;1;1;1;1;acept;not furnished;998
São Paulo;45;1;1;0;0;not acept;not furnished;999
Porto Alegre;68;2;1;0;3;acept;not furnished;1000
Campinas;35;1;1;0;8;acept;not furnished;1001
Porto Alegre;60;2;1;1;0;not acept;not furnished;1001
Belo Horizonte;70;3;1;1;3;acept;not furnished;1003
Campinas;23;1;1;0;0;not acept;furnished;1003
Porto Alegre;60;1;1;0;2;acept;not furnished;1003
São Paulo;20;1;1;0;0;not acept;not furnished;1003
Porto Alegre;80;1;1;0;0;acept;not furnished;1004
São Paulo;70;1;1;0;0;acept;not furnished;1004
Campinas;50;1;1;0;0;acept;not furnished;1005
Campinas;43;1;1;0;5;not acept;not furnished;1006
Porto Alegre;58;2;1;1;0;acept;not furnished;1006
São Paulo;67;1;1;1;1;not acept;not furnished;1006
Porto Alegre;80;2;1;0;0;acept;not furnished;1008
Campinas;36;1;1;0;5;acept;not furnished;1009
Campinas;45;1;1;0;4;acept;not furnished;1009
Rio de Janeiro;50;1;1;0;1;acept;furnished;1010
Campinas;50;2;1;1;1;acept;not furnished;1011
São Paulo;35;1;1;0;3;not acept;not furnished;1011
Belo Horizonte;50;2;1;0;5;acept;not furnished;1012
Porto Alegre;22;1;1;0;6;acept;not furnished;1012
Campinas;49;2;1;1;0;acept;not furnished;1013
Campinas;50;2;1;1;3;acept;not furnished;1013
Campinas;82;2;1;1;1;acept;not furnished;1013
Porto Alegre;46;2;1;1;0;acept;not furnished;1013
Rio de Janeiro;15;1;1;0;2;not acept;not furnished;1013
Rio de Janeiro;30;1;1;0;20;not acept;not furnished;1013
São Paulo;12;1;1;0;0;not acept;not furnished;1013
São Paulo;30;1;1;0;0;not acept;not furnished;1013
Belo Horizonte;20;1;1;1;1;not acept;not furnished;1014
Belo Horizonte;45;2;1;1;3;acept;not furnished;1014
Campinas;48;1;1;0;4;not acept;not furnished;1014
Campinas;56;1;1;0;3;not acept;not furnished;1014
Porto Alegre;32;1;1;0;0;acept;furnished;1014
São Paulo;45;2;1;0;2;acept;not furnished;1014
Belo Horizonte;45;2;1;1;5;not acept;not furnished;1015
Porto Alegre;45;2;1;0;1;acept;not furnished;1015
Belo Horizonte;50;2;1;0;0;not acept;not furnished;1016
Campinas;35;1;1;1;0;not acept;furnished;1016
São Paulo;30;1;1;0;0;not acept;not furnished;1016
São Paulo;50;1;1;0;0;not acept;not furnished;1016
Porto Alegre;27;1;1;0;6;not acept;not furnished;1018
Porto Alegre;36;1;1;1;4;acept;not furnished;1019
Campinas;62;2;1;0;1;acept;not furnished;1020
Rio de Janeiro;20;1;1;0;5;acept;not furnished;1020
São Paulo;35;1;1;1;1;acept;not furnished;1020
Campinas;54;1;2;0;1;acept;not furnished;1021
Porto Alegre;49;1;1;0;7;acept;not furnished;1021
São Paulo;60;1;1;1;3;acept;not furnished;1021
Campinas;42;2;1;1;3;not acept;not furnished;1023
Porto Alegre;25;1;1;0;12;not acept;not furnished;1023
São Paulo;20;1;1;0;1;not acept;not furnished;1023
São Paulo;38;1;1;0;1;not acept;not furnished;1023
São Paulo;38;1;1;0;2;not acept;not furnished;1023
São Paulo;38;1;1;0;1;not acept;not furnished;1023
São Paulo;40;1;1;0;0;acept;not furnished;1023
Rio de Janeiro;30;1;1;0;3;acept;not furnished;1024
Porto Alegre;46;2;1;0;1;acept;not furnished;1026
São Paulo;40;1;1;0;0;not acept;not furnished;1026
São Paulo;23;1;1;0;2;not acept;not furnished;1027
Porto Alegre;80;2;1;0;1;acept;not furnished;1029
Campinas;48;1;1;0;9;acept;not furnished;1030
Campinas;49;1;1;0;3;acept;not furnished;1031
Porto Alegre;40;1;1;0;10;acept;not furnished;1031
Belo Horizonte;68;3;1;2;3;acept;not furnished;1032
Porto Alegre;48;1;1;0;4;acept;not furnished;1032
Campinas;55;1;1;0;4;acept;not furnished;1034
São Paulo;30;1;1;0;0;acept;not furnished;1034
Belo Horizonte;57;2;1;1;3;not acept;not furnished;1036
Rio de Janeiro;75;2;1;1;6;not acept;not furnished;1036
Campinas;45;1;1;0;7;not acept;not furnished;1037
Belo Horizonte;68;2;2;2;3;acept;not furnished;1038
Porto Alegre;45;1;1;0;6;acept;not furnished;1038
Porto Alegre;20;1;1;1;0;acept;furnished;1039
Porto Alegre;36;1;1;0;6;not acept;not furnished;1039
Belo Horizonte;150;3;1;1;4;acept;not furnished;1041
Campinas;37;1;1;1;2;acept;not furnished;1041
Belo Horizonte;55;2;1;1;1;not acept;not furnished;1042
Belo Horizonte;63;2;1;1;4;not acept;not furnished;1042
Porto Alegre;50;2;1;1;0;acept;not furnished;1043
Rio de Janeiro;16;1;1;0;2;acept;not furnished;1043
Campinas;50;1;1;0;2;acept;not furnished;1044
Porto Alegre;40;1;1;0;2;not acept;not furnished;1044
Porto Alegre;52;1;1;0;10;acept;not furnished;1044
Porto Alegre;56;1;1;0;2;acept;not furnished;1045
Belo Horizonte;76;2;1;1;1;acept;not furnished;1046
Porto Alegre;46;1;1;1;1;acept;furnished;1046
São Paulo;45;1;1;0;0;not acept;not furnished;1046
Belo Horizonte;70;2;1;0;0;not acept;not furnished;1047
Campinas;42;2;1;1;3;acept;not furnished;1047
Porto Alegre;48;1;1;0;2;acept;not furnished;1048
Porto Alegre;58;1;1;0;2;acept;not furnished;1048
São Paulo;40;1;1;0;0;not acept;not furnished;1048
Campinas;48;1;1;1;1;not acept;not furnished;1049
São Paulo;45;1;1;0;0;not acept;not furnished;1050
São Paulo;60;1;1;0;0;acept;not furnished;1050
Belo Horizonte;44;2;1;0;4;not acept;not furnished;1052
Belo Horizonte;55;3;1;1;3;not acept;not furnished;1052
Belo Horizonte;68;2;1;0;0;acept;not furnished;1052
Porto Alegre;55;2;1;0;3;acept;not furnished;1052
Belo Horizonte;90;2;1;0;1;acept;not furnished;1053
Porto Alegre;50;2;1;1;0;not acept;not furnished;1053
São Paulo;31;2;1;0;2;acept;not furnished;1054
Porto Alegre;46;1;1;1;2;acept;not furnished;1056
Porto Alegre;72;2;1;0;3;not acept;not furnished;1056
São Paulo;70;2;1;0;0;acept;not furnished;1057
Belo Horizonte;55;1;1;0;0;not acept;not furnished;1058
Porto Alegre;28;1;1;0;2;acept;not furnished;1059
Porto Alegre;40;1;1;0;20;acept;not furnished;1059
Porto Alegre;70;1;1;0;3;not acept;not furnished;1059
Porto Alegre;120;3;2;1;2;acept;not furnished;1060
Belo Horizonte;65;2;2;0;0;not acept;not furnished;1061
Rio de Janeiro;50;1;1;0;1;acept;not furnished;1061
Belo Horizonte;50;2;1;1;4;acept;not furnished;1062
Porto Alegre;50;1;1;1;7;acept;not furnished;1062
São Paulo;48;2;1;1;4;acept;not furnished;1062
Rio de Janeiro;30;1;1;0;12;acept;not furnished;1063
Rio de Janeiro;65;2;1;0;0;acept;not furnished;1063
São Paulo;35;1;1;1;1;acept;not furnished;1063
Campinas;50;1;1;1;2;not acept;not furnished;1064
Porto Alegre;25;1;1;0;8;acept;not furnished;1065
Porto Alegre;50;1;1;0;0;acept;not furnished;1065
São Paulo;40;1;1;0;1;acept;not furnished;1067
Belo Horizonte;50;2;1;0;0;not acept;not furnished;1068
São Paulo;40;1;1;0;1;acept;not furnished;1069
Belo Horizonte;55;2;1;1;7;not acept;not furnished;1072
Belo Horizonte;55;2;1;1;8;not acept;not furnished;1072
Campinas;51;1;1;0;1;not acept;not furnished;1072
Porto Alegre;49;1;1;0;1;acept;not furnished;1073
Rio de Janeiro;30;1;1;0;3;acept;not furnished;1073
Porto Alegre;26;1;1;0;1;acept;not furnished;1074
Porto Alegre;47;1;1;0;20;acept;not furnished;1074
Porto Alegre;62;1;1;0;3;acept;not furnished;1077
Rio de Janeiro;74;2;1;1;1;acept;not furnished;1077
Campinas;70;2;2;0;5;not acept;not furnished;1078
São Paulo;60;1;2;0;0;acept;not furnished;1079
Belo Horizonte;70;2;1;2;4;acept;not furnished;1081
Belo Horizonte;21;1;1;0;20;not acept;not furnished;1082
São Paulo;40;1;1;0;0;not acept;not furnished;1082
Porto Alegre;60;2;1;1;3;acept;not furnished;1084
São Paulo;40;1;1;0;0;not acept;not furnished;1084
Campinas;50;1;1;1;3;acept;not furnished;1085
Rio de Janeiro;50;2;1;0;5;acept;not furnished;1088
São Paulo;40;1;1;0;0;not acept;not furnished;1089
Porto Alegre;58;2;1;0;2;acept;not furnished;1090
Belo Horizonte;50;2;1;1;1;acept;not furnished;1091
São Paulo;80;1;1;4;0;acept;not furnished;1091
Belo Horizonte;70;2;1;1;0;acept;not furnished;1092
Belo Horizonte;100;2;1;1;0;acept;not furnished;1092
Porto Alegre;35;1;1;0;0;acept;furnished;1092
São Paulo;34;1;1;0;2;acept;not furnished;1092
São Paulo;25;1;1;0;1;not acept;not furnished;1094
São Paulo;20;1;1;0;1;not acept;not furnished;1097
São Paulo;25;1;1;0;1;not acept;not furnished;1097
São Paulo;36;2;1;0;0;not acept;not furnished;1097
Belo Horizonte;55;2;1;1;4;acept;not furnished;1098
Rio de Janeiro;35;1;1;0;3;acept;not furnished;1100
São Paulo;25;1;1;0;0;not acept;not furnished;1100
São Paulo;45;1;1;0;0;not acept;not furnished;1100
Porto Alegre;60;2;1;0;4;acept;not furnished;1101
Campinas;44;1;1;0;8;acept;furnished;1102
Porto Alegre;28;1;1;0;0;acept;not furnished;1103
Campinas;48;2;1;1;4;acept;not furnished;1104
Porto Alegre;46;1;1;0;4;acept;not furnished;1104
Porto Alegre;42;2;1;0;2;acept;not furnished;1105
Campinas;37;1;1;0;4;not acept;furnished;1106
Belo Horizonte;50;2;1;1;5;acept;not furnished;1107
Belo Horizonte;50;1;1;0;0;not acept;not furnished;1107
Porto Alegre;35;1;1;0;3;acept;furnished;1108
Porto Alegre;45;2;1;1;4;acept;not furnished;1108
Belo Horizonte;31;1;1;1;3;not acept;not furnished;1109
Belo Horizonte;42;2;1;1;5;acept;not furnished;1109
Campinas;76;2;1;0;1;acept;not furnished;1109
Campinas;76;2;1;0;3;acept;not furnished;1109
Campinas;76;1;2;0;1;acept;not furnished;1109
Campinas;76;2;1;0;2;acept;not furnished;1109
Porto Alegre;45;1;1;0;0;not acept;not furnished;1109
São Paulo;50;1;1;0;0;not acept;not furnished;1110
Porto Alegre;30;1;1;0;1;acept;furnished;1111
Rio de Janeiro;39;1;1;0;4;acept;not furnished;1111
São Paulo;40;1;1;0;0;not acept;not furnished;1111
Belo Horizonte;45;2;1;1;4;acept;not furnished;1112
Belo Horizonte;58;2;1;1;2;acept;not furnished;1112
Belo Horizonte;76;2;1;1;2;not acept;not furnished;1112
São Paulo;45;1;1;0;0;acept;not furnished;1112
Rio de Janeiro;50;1;1;1;5;acept;not furnished;1114
São Paulo;48;1;1;0;0;acept;not furnished;1114
São Paulo;55;1;1;0;1;acept;not furnished;1114
São Paulo;60;2;1;1;1;acept;not furnished;1114
São Paulo;80;2;1;0;1;not acept;not furnished;1114
Belo Horizonte;15;1;1;0;3;not acept;furnished;1115
Belo Horizonte;20;1;1;1;0;acept;furnished;1115
São Paulo;34;1;1;0;0;acept;not furnished;1116
Campinas;55;1;1;1;2;acept;not furnished;1117
Porto Alegre;50;1;1;0;3;acept;not furnished;1117
Porto Alegre;60;2;1;0;3;acept;not furnished;1117
São Paulo;35;1;1;0;0;acept;not furnished;1117
São Paulo;42;1;1;0;0;not acept;not furnished;1117
São Paulo;45;1;1;0;1;not acept;not furnished;1117
São Paulo;50;1;1;0;0;acept;not furnished;1117
São Paulo;50;1;1;1;0;acept;not furnished;1117
São Paulo;60;2;1;0;0;acept;not furnished;1117
São Paulo;68;1;1;0;0;not acept;not furnished;1117
São Paulo;70;1;1;1;0;not acept;not furnished;1117
Campinas;55;2;1;1;1;acept;not furnished;1120
Campinas;47;1;1;1;9;acept;not furnished;1121
Belo Horizonte;40;2;2;1;2;not acept;not furnished;1122
Belo Horizonte;29;1;1;0;1;acept;not furnished;1123
Belo Horizonte;29;1;1;0;1;not acept;not furnished;1123
Belo Horizonte;29;1;1;0;1;acept;not furnished;1123
Belo Horizonte;45;1;1;0;1;not acept;not furnished;1123
Rio de Janeiro;45;2;1;0;5;acept;not furnished;1125
São Paulo;50;1;1;0;0;acept;not furnished;1125
Campinas;56;2;1;1;1;acept;not furnished;1126
Porto Alegre;39;1;1;1;1;not acept;furnished;1126
Rio de Janeiro;72;2;1;1;3;acept;not furnished;1126
São Paulo;48;1;1;0;0;not acept;not furnished;1126
Porto Alegre;44;1;1;0;3;acept;not furnished;1127
Porto Alegre;62;2;1;0;4;acept;not furnished;1127
Belo Horizonte;48;2;1;1;3;acept;not furnished;1128
Belo Horizonte;55;2;1;1;1;acept;not furnished;1129
Campinas;120;1;2;1;0;acept;not furnished;1129
Campinas;40;1;1;0;8;acept;not furnished;1131
Rio de Janeiro;35;1;1;0;3;acept;not furnished;1131
Porto Alegre;47;1;1;0;3;acept;not furnished;1133
Porto Alegre;50;1;1;0;0;acept;furnished;1133
Campinas;37;1;1;0;4;not acept;furnished;1134
Belo Horizonte;70;2;1;1;2;acept;not furnished;1135
